Final particle positions and velocities
Particle 232: 4398.21514287 1152.50540001 -4325.48472285 2431.08190293
Particle Collisions: 116 Wall collisions: 130
Particle 233: 3003.11417410 17004.27868670 -2072.82263980 -2370.00755832
Particle Collisions: 126 Wall collisions: 116
Particle 234: 2875.77508658 13000.87076232 -2302.98307152 4140.85950967
Particle Collisions: 93 Wall collisions: 131
Particle 235: 11528.46060031 9774.70973318 -538.40208739 3524.99152841
Particle Collisions: 97 Wall collisions: 130
Particle 236: 18647.21355405 13613.62486759 -464.42333176 3575.38295000
Particle Collisions: 109 Wall collisions: 121
Particle 237: 13161.01164258 19895.99144694 4340.62385545 -1209.17484152
Particle Collisions: 108 Wall collisions: 131
Particle 238: 15463.77857349 8984.02312279 -4381.24147110 -2722.82009146
Particle Collisions: 118 Wall collisions: 126
Particle 239: 4960.84414270 13801.30618206 -2852.34524874 -1344.69325045
Particle Collisions: 113 Wall collisions: 134
Particle 240: 13268.16523686 17149.60194756 5348.05283377 3839.16289388
Particle Collisions: 107 Wall collisions: 127
Particle 241: 10591.26309817 13384.43287471 -3327.48585067 1403.15839783
Particle Collisions: 92 Wall collisions: 134
Particle 242: 5217.97643749 3547.21964213 2608.48821874 -4933.40441549
Particle Collisions: 105 Wall collisions: 119
Particle 243: 15776.61188036 42.64782829 2253.65884005 -3848.94734066
Particle Collisions: 107 Wall collisions: 119
Particle 244: 5565.93059118 13162.75762271 -1763.15978917 -3554.90832745
Particle Collisions: 86 Wall collisions: 125
Particle 245: 10965.86918441 18016.79196838 3793.49907460 4731.12531639
